0 0000000001 1000
2 0000000010 1000
4 0000000011 0100
6 0000000100 1000
8 0000000101 0010
10 0000000110 0100
12 0000000111 1000
14 0000001000 1000
16 0000001001 0100
18 0000001010 0010
20 0000001011 1000
22 0000001100 0100
24 0000001101 1000
26 0000001110 1000
28 0000001111 0001
30 0000010000 1000
32 0000010001 1000
34 0000010010 0100
36 0000010011 1000
38 0000010100 0010
40 0000010101 0100
42 0000010110 1000
44 0000010111 1000
46 0000011000 0100
48 0000011001 0010
50 0000011010 1000
52 0000011011 0100
54 0000011100 1000
56 0000011101 1000
58 0000011110 0001
60 0000011111 1000
62 0000100000 1000
64 0000100001 0100
66 0000100010 1000
68 0000100011 0010
70 0000100100 0100
72 0000100101 1000
74 0000100110 1000
76 0000100111 0100
78 0000101000 0010
80 0000101001 1000
82 0000101010 0100
84 0000101011 1000
86 0000101100 1000
88 0000101101 0001
90 0000101110 1000
92 0000101111 1000
94 0000110000 0100
96 0000110001 1000
98 0000110010 0010
100 0000110011 0100
102 0000110100 1000
104 0000110101 1000
106 0000110110 0100
108 0000110111 0010
110 0000111000 1000
112 0000111001 0100
114 0000111010 1000
116 0000111011 1000
118 0000111100 0001
120 0000111101 1000
122 0000111110 1000
124 0000111111 0100
126 0001000000 1000
128 0001000001 0010
130 0001000010 0100
132 0001000011 1000
134 0001000100 1000
136 0001000101 0100
138 0001000110 0010
140 0001000111 1000
142 0001001000 0100
144 0001001001 1000
146 0001001010 1000
148 0001001011 0001
150 0001001100 1000
152 0001001101 1000
154 0001001110 0100
156 0001001111 1000
158 0001010000 0010
160 0001010001 0100
162 0001010010 1000
164 0001010011 1000
166 0001010100 0100
168 0001010101 0010
170 0001010110 1000
172 0001010111 0100
174 0001011000 1000
176 0001011001 1000
178 0001011010 0001
180 0001011011 1000
182 0001011100 1000
184 0001011101 0100
186 0001011110 1000
188 0001011111 0010
190 0001100000 0100
192 0001100001 1000
194 0001100010 1000
196 0001100011 0100
198 0001100100 0010
200 0001100101 1000
202 0001100110 0100
204 0001100111 1000
206 0001101000 1000
208 0001101001 0001
210 0001101010 1000
212 0001101011 1000
214 0001101100 0100
216 0001101101 1000
218 0001101110 0010
220 0001101111 0100
222 0001110000 1000
224 0001110001 1000
226 0001110010 0100
228 0001110011 0010
230 0001110100 1000
232 0001110101 0100
234 0001110110 1000
236 0001110111 1000
238 0001111000 0001
240 0001111001 1000
242 0001111010 1000
244 0001111011 0100
246 0001111100 1000
248 0001111101 0010
250 0001111110 0100
252 0001111111 1000
254 0010000000 1000
256 0010000001 0100
258 0010000010 0010
260 0010000011 1000
262 0010000100 0100
264 0010000101 1000
266 0010000110 1000
268 0010000111 0001
270 0010001000 1000
272 0010001001 1000
274 0010001010 0100
276 0010001011 1000
278 0010001100 0010
280 0010001101 0100
282 0010001110 1000
284 0010001111 1000
286 0010010000 0100
288 0010010001 0010
290 0010010010 1000
292 0010010011 0100
294 0010010100 1000
296 0010010101 1000
298 0010010110 0001
300 0010010111 1000
302 0010011000 1000
304 0010011001 0100
306 0010011010 1000
308 0010011011 0010
310 0010011100 0100
312 0010011101 1000
314 0010011110 1000
316 0010011111 0100
318 0010100000 0010
320 0010100001 1000
322 0010100010 0100
324 0010100011 1000
326 0010100100 1000
328 0010100101 0001
330 0010100110 1000
332 0010100111 1000
334 0010101000 0100
336 0010101001 1000
338 0010101010 0010
340 0010101011 0100
342 0010101100 1000
344 0010101101 1000
346 0010101110 0100
348 0010101111 0010
350 0010110000 1000
352 0010110001 0100
354 0010110010 1000
356 0010110011 1000
358 0010110100 0001
360 0010110101 1000
362 0010110110 1000
364 0010110111 0100
366 0010111000 1000
368 0010111001 0010
370 0010111010 0100
372 0010111011 1000
374 0010111100 1000
376 0010111101 0100
378 0010111110 0010
380 0010111111 1000
382 0011000000 0100
384 0011000001 1000
386 0011000010 1000
388 0011000011 0001
390 0011000100 1000
392 0011000101 1000
394 0011000110 0100
396 0011000111 1000
398 0011001000 0010
400 0011001001 0100
402 0011001010 1000
404 0011001011 1000
406 0011001100 0100
408 0011001101 0010
410 0011001110 1000
412 0011001111 0100
414 0011010000 1000
416 0011010001 1000
418 0011010010 0001
420 0011010011 1000
422 0011010100 1000
424 0011010101 0100
426 0011010110 1000
428 0011010111 0010
430 0011011000 0100
432 0011011001 1000
434 0011011010 1000
436 0011011011 0100
438 0011011100 0010
440 0011011101 1000
442 0011011110 0100
444 0011011111 1000
446 0011100000 1000
448 0011100001 0001
450 0011100010 1000
452 0011100011 1000
454 0011100100 0100
456 0011100101 1000
458 0011100110 0010
460 0011100111 0100
462 0011101000 1000
464 0011101001 1000
466 0011101010 0100
468 0011101011 0010
470 0011101100 1000
472 0011101101 0100
474 0011101110 1000
476 0011101111 1000
478 0011110000 0001
480 0011110001 1000
482 0011110010 1000
484 0011110011 0100
486 0011110100 1000
488 0011110101 0010
490 0011110110 0100
492 0011110111 1000
494 0011111000 1000
496 0011111001 0100
498 0011111010 0010
500 0011111011 1000
502 0011111100 0100
504 0011111101 1000
506 0011111110 1000
508 0011111111 0001
510 0100000000 1000
512 0100000001 1000
514 0100000010 0100
516 0100000011 1000
518 0100000100 0010
520 0100000101 0100
522 0100000110 1000
524 0100000111 1000
526 0100001000 0100
528 0100001001 0010
530 0100001010 1000
532 0100001011 0100
534 0100001100 1000
536 0100001101 1000
538 0100001110 0001
540 0100001111 1000
542 0100010000 1000
544 0100010001 0100
546 0100010010 1000
548 0100010011 0010
550 0100010100 0100
552 0100010101 1000
554 0100010110 1000
556 0100010111 0100
558 0100011000 0010
560 0100011001 1000
562 0100011010 0100
564 0100011011 1000
566 0100011100 1000
568 0100011101 0001
570 0100011110 1000
572 0100011111 1000
574 0100100000 0100
576 0100100001 1000
578 0100100010 0010
580 0100100011 0100
582 0100100100 1000
584 0100100101 1000
586 0100100110 0100
588 0100100111 0010
590 0100101000 1000
592 0100101001 0100
594 0100101010 1000
596 0100101011 1000
598 0100101100 0001
600 0100101101 1000
602 0100101110 1000
604 0100101111 0100
606 0100110000 1000
608 0100110001 0010
610 0100110010 0100
612 0100110011 1000
614 0100110100 1000
616 0100110101 0100
618 0100110110 0010
620 0100110111 1000
622 0100111000 0100
624 0100111001 1000
626 0100111010 1000
628 0100111011 0001
630 0100111100 1000
632 0100111101 1000
634 0100111110 0100
636 0100111111 1000
638 0101000000 0010
640 0101000001 0100
642 0101000010 1000
644 0101000011 1000
646 0101000100 0100
648 0101000101 0010
650 0101000110 1000
652 0101000111 0100
654 0101001000 1000
656 0101001001 1000
658 0101001010 0001
660 0101001011 1000
662 0101001100 1000
664 0101001101 0100
666 0101001110 1000
668 0101001111 0010
670 0101010000 0100
672 0101010001 1000
674 0101010010 1000
676 0101010011 0100
678 0101010100 0010
680 0101010101 1000
682 0101010110 0100
684 0101010111 1000
686 0101011000 1000
688 0101011001 0001
690 0101011010 1000
692 0101011011 1000
694 0101011100 0100
696 0101011101 1000
698 0101011110 0010
700 0101011111 0100
702 0101100000 1000
704 0101100001 1000
706 0101100010 0100
708 0101100011 0010
710 0101100100 1000
712 0101100101 0100
714 0101100110 1000
716 0101100111 1000
718 0101101000 0001
720 0101101001 1000
722 0101101010 1000
724 0101101011 0100
726 0101101100 1000
728 0101101101 0010
730 0101101110 0100
732 0101101111 1000
734 0101110000 1000
736 0101110001 0100
738 0101110010 0010
740 0101110011 1000
742 0101110100 0100
744 0101110101 1000
746 0101110110 1000
748 0101110111 0001
750 0101111000 1000
752 0101111001 1000
754 0101111010 0100
756 0101111011 1000
758 0101111100 0010
760 0101111101 0100
762 0101111110 1000
764 0101111111 1000
766 0110000000 0100
768 0110000001 0010
770 0110000010 1000
772 0110000011 0100
774 0110000100 1000
776 0110000101 1000
778 0110000110 0001
780 0110000111 1000
782 0110001000 1000
784 0110001001 0100
786 0110001010 1000
788 0110001011 0010
790 0110001100 0100
792 0110001101 1000
794 0110001110 1000
796 0110001111 0100
798 0110010000 0010
