59082.7 77829.4 45145.5 63538.6 117849 113389 78676 88773.2 17524 75118.8 2016.39
30059.2 16983.1 99525.6 19389.9 49620.7 16062.1 13465.4 123628 27010.9 63480.6 103849
75820.6 36636.5 78903.8 64885.9 61085.9 120392 36201.5 95463.9 65190.1 95285.2 49532.2
110337 35062.6 43620 99964.7 113740 8632.06 117490 65097.3 10649.5 23787.8 82081.4
110176 43178.7 7940.98 2477.1 56645.1 7807.88 29489 120127 111658 105311 33002.1
66800.9 46435.4 94089 63431.5 82637.9 65791.8 4860.42 54162 115325 115198 89225.6
35183.8 91401.6 79204.2 43816.8 85130.2 20540.3 54467.3 108919 102623 40882.2 28336.6
110565 43360.3 84982.7 118374 72850.4 81348.4 106271 54399.9 114351 49310.4 100836
84679.4 112743 59713.1 26710 117604 113876 18273.7 109041 79340.5 53458.5 76681.6
34783.5 97276.3 38050.6 55324.8 27982.4 23208.5 34186.4 68865.7 51546.1 20989.9 112227
12767.7 15602.4 61316.2 94117 121874 115717 84707.4 47423.2 92792.3 45625.6 36404.9
28744.2 72336.6 30248 18859.1 90611.3 15528 98200.6 20308.6 92210.6 9222.97 117586
6500.13 64548.8 21807.2 29709.6 98736.2 90673.9 81256.7 119727 79139.7 94025.4 11568.3
16694.8 64381.3 9681.18 8650.77 25327.6 57105.4 101444 70954.1 93511.3 6427.06 19529.5
123760 25287.1 110142 15527.2 123489 6689.28 107739 8950.57 514.05 114240 73500.4
22322.3 20188.5 48475.4 112997 101446 44441.4 68375.7 71710.5 56010.8 85071.5 12330.7
65692.9 93723.3 37659.2 122799 71406.2 108614 92549.5 77834.2 4382.77 92548.7 103122
114526 108077 102850 121216 92054.7 111802 121731 82533.5 61540.8 20292 102723
110017 9528.03 80408.1 30697.5 77904.8 28357.5 86709.2 39215.2 40689.2 28641 9177.32
78349.4 27679.2 80584.5 63202.6 120230 34657.6 67586.4 89017.2 14018.8 58350.8 73333
116870 55805.5 41626.5 104910 53775.3 398.932 42689.9 74068.3 103123 28945.9 83597.4
59770 59644.4 37741 88128.4 22592.5 76957.1 5056.45 51234.5 86135.4 83406.8 78914.7
42958.8 22848.3 75383.2 77617.4 90435.6 40639.3 91637.3 25025.3 113973 84745.9 80831.8
31838.7 65895 10846 32238.7 108586 84915.3 11600.5 13770.7 44751.5 71371.5 73416.1
82493.5 35738.8 96009.6 35689.5 40796.2 23483 121826 441.892 102399 41023.6 23291.2
54020.8 118642 113728 94661.1 86518.1 14991.9 84873.3 47502.9 95824.8 116713 113399
106672 25190.6 98223.7 67825.9 36792.1 111995 112578 108165 61650.4 71310.7 20142.1
33898.8 107001 60939.3 57382.8 105066 61382.2 36020.4 22328.3 84674.4 90042.2 17209.1
74641 60942.2 103728 89634 22054.3 27469.9 61697.6 15006.2 17107.7 44608.2 40197.8
115332 112435 76990.9 103567 101252 61394.2 41455.8 48801.8 81537.4 75355.7 32041.8
18715.5 8977.33 13346.5 80098.8 44998.7 35675.9 41012 11279.7 52886 115654 72222.9
32853.1 81526.9 94278.3 60324 19463.3 109286 77432.7 64072.5 25722.2 69003.9 52746.3
102714 48809.4 30237.4 40347.1 90266.2 79040.2 121885 41860.7 111083 16839.9 50839
668.374 96939.7 95838.7 36345.2 14190.5 107119 89232.2 6083.45 55581.2 122086 87611.3
26098.3 58649.1 107076 11622.7 12320.7 47387 37345.8 81325.6 100134 16298.7 6373.78
6610.66 56646.9 96640.9 85651.9 54771.2 14740.5 72973.7 71612.1 65580.5 73643.1 44790.6
37658 109989 58982.1 21016.3 75460.4 65066.6 76598.5 73785.5 28916.8 102698 8673.51
12231.3 114322 20995.2 59619.4 27906.2 102322 35992.6 44206 108697 42604.2 100854
81576.3 4494.96 31863.9 96317.8 77469.7 103477 38137.1 27351.6 24506.5 75796.1 13579.8
83489.6 96813.5 89041.1 24795 49650.8 39065.5 53712.8 28587.6 47740 65945.2 19147.9
68736.2 1803.37 47055.2 47296.8 37797 91262.2 32232.2 80402.2 68354.9 113810 84898.1
100220 86366.2 38606.7 79935.6 742.164 65959.3 104443 76539.3 79540 64171.5 49591.6
44820 88967.6 99243.5 83886.5 18919.2 4069.87 7865.4 84865.4 23218.8 76602.6 86669.8
70275 138.292 705.576 37776 32371.5 81108.8 106132 22419.9 42245.8 82590.5 108787
80853.4 38765 109530 23051.5 19446.9 62308.4 102593 83619.4 111901 23651.4 48825.8
87383.3 107539 67746 91454.2 115405 28850.3 114674 68246.8 115521 61187.9 68386.1
116228 98964.9 100759 73575.3 81335.6 123179 115822 40164.9 108205 72914.3 78930.9
93974.5 95966.8 98378.8 32521.8 74798.2 58237 20661.7 98450.6 107064 108046 82228.4
51048.7 75739 73872.5 79900 66651.9 18358.1 71659.9 4078.62 86745.2 64126.4 103044
